signal,seg,h,n,ep,mean,med,hit,base_mean,base_hit,edge,p_shift,mae
comm_long|z1>=2.0,2023+,4,4,4.0,0.05249201521398994,0.055488193178714784,1.0,0.01849698735368388,0.6424581005586593,0.03399502786030606,0.0572,-0.0027394698810082885
comm_long|z1>=2.0,2023+,8,4,4.0,0.07114070531865152,0.0845599009352801,1.0,0.04127644240856628,0.68,0.02986426291008524,0.1152,-0.0027394698810082885
comm_long|z1>=2.0,2023+,13,4,4.0,0.1154101695673797,0.10799434924734763,1.0,0.07129724925888474,0.8058823529411765,0.044112920308494966,0.1032,-0.0027394698810082885
comm_long|z1>=2.0,2023+,26,4,4.0,0.2000625083390707,0.21593899868154265,1.0,0.16260157757521554,0.9235668789808917,0.03746093076385515,0.2004,-0.0027394698810082885
comm_long|z1>=2.0,2020-22,4,2,2.0,-0.022704598545258414,-0.022704598545258414,0.0,0.00588844866049347,0.5448717948717948,-0.028593047205751884,0.8496,-0.033274201272363524
comm_long|z1>=2.0,2020-22,8,2,2.0,-0.03353247205959703,-0.03353247205959703,0.0,0.010290132803350205,0.532051282051282,-0.043822604862947236,0.8804,-0.04293811761412919
comm_long|z1>=2.0,2020-22,13,2,2.0,-0.01463475923068669,-0.01463475923068669,0.5,0.0175371595730731,0.5384615384615384,-0.03217191880375979,0.8304,-0.06074722693198814
comm_long|z1>=2.0,2020-22,26,2,2.0,-0.06758929591703605,-0.06758929591703605,0.5,0.03134070603275328,0.6025641025641025,-0.09893000194978933,0.9665496593020855,-0.08702643024446738
comm_long|pct13>=0.1,ALL,4,52,19.0,0.018922997218950712,0.011362622449454518,0.6923076923076923,0.01262554843983999,0.5970149253731343,0.006297448779110723,0.1904,-0.010306241880208789
comm_long|pct13>=0.1,ALL,8,52,19.0,0.029243475542092556,0.022114214448099467,0.6153846153846154,0.026672622775896472,0.6102719033232629,0.002570852766196084,0.3882,-0.020205258092459346
comm_long|pct13>=0.1,ALL,13,52,19.0,0.050209801488616417,0.028358657488758654,0.6923076923076923,0.045571562169968736,0.6779141104294478,0.00463823931864768,0.3922,-0.023284694156014505
comm_long|pct13>=0.1,ALL,26,50,19.0,0.1076629451381519,0.13729135761589673,0.78,0.09718082370740687,0.7635782747603834,0.010482121430745034,0.337,-0.02928161028134618
comm_long|pct13>=0.1,2023+,4,38,10.0,0.026558274585851027,0.01256619298958006,0.7368421052631579,0.01849698735368388,0.6424581005586593,0.008061287232167147,0.1072,-0.007803742136731865
